molecule_id,smiles,cluster_id,cluster_size,cluster_members,tanimoto_similarities
CHEMBL_000010,CCN(CC)CC,30,33,"['CHEMBL_000010', 'CHEMBL_000050', 'CHEMBL_000090', 'CHEMBL_000130', 'CHEMBL_000170', 'CHEMBL_000250', 'CHEMBL_000290', 'CHEMBL_000330', 'CHEMBL_000370', 'CHEMBL_000410', 'CHEMBL_000450', 'CHEMBL_000530', 'CHEMBL_000570', 'CHEMBL_000610', 'CHEMBL_000650', 'CHEMBL_000690', 'CHEMBL_000730', 'CHEMBL_000810', 'CHEMBL_000850', 'CHEMBL_000890', 'CHEMBL_000930', 'CHEMBL_000970', 'CHEMBL_001010', 'CHEMBL_001090', 'CHEMBL_001130', 'CHEMBL_001170', 'CHEMBL_001210', 'CHEMBL_001250', 'CHEMBL_001290', 'CHEMBL_001370', 'CHEMBL_001410', 'CHEMBL_001450', 'CHEMBL_001490']","[1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00]"
CHEMBL_000011,CC(C)C,26,32,"['CHEMBL_000011', 'CHEMBL_000051', 'CHEMBL_000131', 'CHEMBL_000171', 'CHEMBL_000211', 'CHEMBL_000251', 'CHEMBL_000291', 'CHEMBL_000331', 'CHEMBL_000411', 'CHEMBL_000451', 'CHEMBL_000491', 'CHEMBL_000531', 'CHEMBL_000571', 'CHEMBL_000611', 'CHEMBL_000691', 'CHEMBL_000731', 'CHEMBL_000771', 'CHEMBL_000811', 'CHEMBL_000851', 'CHEMBL_000891', 'CHEMBL_000971', 'CHEMBL_001011', 'CHEMBL_001051', 'CHEMBL_001091', 'CHEMBL_001131', 'CHEMBL_001171', 'CHEMBL_001251', 'CHEMBL_001291', 'CHEMBL_001331', 'CHEMBL_001371', 'CHEMBL_001411', 'CHEMBL_001451']","[1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00]"
CHEMBL_000012,CCCCC,10,38,"['CHEMBL_000012', 'CHEMBL_000052', 'CHEMBL_000092', 'CHEMBL_000132', 'CHEMBL_000172', 'CHEMBL_000212', 'CHEMBL_000217', 'CHEMBL_000292', 'CHEMBL_000332', 'CHEMBL_000372', 'CHEMBL_000412', 'CHEMBL_000452', 'CHEMBL_000492', 'CHEMBL_000497', 'CHEMBL_000572', 'CHEMBL_000612', 'CHEMBL_000652', 'CHEMBL_000692', 'CHEMBL_000732', 'CHEMBL_000772', 'CHEMBL_000777', 'CHEMBL_000852', 'CHEMBL_000892', 'CHEMBL_000932', 'CHEMBL_000972', 'CHEMBL_001012', 'CHEMBL_001052', 'CHEMBL_001057', 'CHEMBL_001132', 'CHEMBL_001172', 'CHEMBL_001212', 'CHEMBL_001252', 'CHEMBL_001292', 'CHEMBL_001332', 'CHEMBL_001337', 'CHEMBL_001412', 'CHEMBL_001452', 'CHEMBL_001492']","[1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00]"
CHEMBL_000013,c1ccc(cc1)C,16,75,"['CHEMBL_000013', 'CHEMBL_000030', 'CHEMBL_000044', 'CHEMBL_000053', 'CHEMBL_000070', 'CHEMBL_000093', 'CHEMBL_000133', 'CHEMBL_000150', 'CHEMBL_000173', 'CHEMBL_000190', 'CHEMBL_000213', 'CHEMBL_000230', 'CHEMBL_000253', 'CHEMBL_000270', 'CHEMBL_000293', 'CHEMBL_000310', 'CHEMBL_000333', 'CHEMBL_000350', 'CHEMBL_000373', 'CHEMBL_000390', 'CHEMBL_000413', 'CHEMBL_000430', 'CHEMBL_000453', 'CHEMBL_000470', 'CHEMBL_000484', 'CHEMBL_000493', 'CHEMBL_000510', 'CHEMBL_000533', 'CHEMBL_000573', 'CHEMBL_000590', 'CHEMBL_000613', 'CHEMBL_000630', 'CHEMBL_000653', 'CHEMBL_000670', 'CHEMBL_000693', 'CHEMBL_000710', 'CHEMBL_000733', 'CHEMBL_000750', 'CHEMBL_000773', 'CHEMBL_000790', 'CHEMBL_000813', 'CHEMBL_000830', 'CHEMBL_000853', 'CHEMBL_000870', 'CHEMBL_000893', 'CHEMBL_000910', 'CHEMBL_000924', 'CHEMBL_000933', 'CHEMBL_000950', 'CHEMBL_000973', 'CHEMBL_001013', 'CHEMBL_001030', 'CHEMBL_001053', 'CHEMBL_001070', 'CHEMBL_001093', 'CHEMBL_001110', 'CHEMBL_001133', 'CHEMBL_001150', 'CHEMBL_001173', 'CHEMBL_001190', 'CHEMBL_001213', 'CHEMBL_001230', 'CHEMBL_001253', 'CHEMBL_001270', 'CHEMBL_001293', 'CHEMBL_001310', 'CHEMBL_001333', 'CHEMBL_001350', 'CHEMBL_001364', 'CHEMBL_001373', 'CHEMBL_001390', 'CHEMBL_001413', 'CHEMBL_001453', 'CHEMBL_001470', 'CHEMBL_001493']","[1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00]"
CHEMBL_000014,c1ccc(cc1)O,3,72,"['CHEMBL_000005', 'CHEMBL_000014', 'CHEMBL_000045', 'CHEMBL_000054', 'CHEMBL_000085', 'CHEMBL_000094', 'CHEMBL_000125', 'CHEMBL_000134', 'CHEMBL_000174', 'CHEMBL_000205', 'CHEMBL_000214', 'CHEMBL_000245', 'CHEMBL_000254', 'CHEMBL_000285', 'CHEMBL_000294', 'CHEMBL_000325', 'CHEMBL_000334', 'CHEMBL_000365', 'CHEMBL_000374', 'CHEMBL_000405', 'CHEMBL_000414', 'CHEMBL_000445', 'CHEMBL_000454', 'CHEMBL_000485', 'CHEMBL_000494', 'CHEMBL_000525', 'CHEMBL_000534', 'CHEMBL_000565', 'CHEMBL_000574', 'CHEMBL_000614', 'CHEMBL_000645', 'CHEMBL_000654', 'CHEMBL_000685', 'CHEMBL_000694', 'CHEMBL_000725', 'CHEMBL_000734', 'CHEMBL_000765', 'CHEMBL_000774', 'CHEMBL_000805', 'CHEMBL_000814', 'CHEMBL_000845', 'CHEMBL_000854', 'CHEMBL_000885', 'CHEMBL_000894', 'CHEMBL_000925', 'CHEMBL_000934', 'CHEMBL_000965', 'CHEMBL_000974', 'CHEMBL_001005', 'CHEMBL_001014', 'CHEMBL_001054', 'CHEMBL_001085', 'CHEMBL_001094', 'CHEMBL_001125', 'CHEMBL_001134', 'CHEMBL_001165', 'CHEMBL_001174', 'CHEMBL_001205', 'CHEMBL_001214', 'CHEMBL_001245', 'CHEMBL_001254', 'CHEMBL_001285', 'CHEMBL_001294', 'CHEMBL_001325', 'CHEMBL_001334', 'CHEMBL_001365', 'CHEMBL_001374', 'CHEMBL_001405', 'CHEMBL_001414', 'CHEMBL_001445', 'CHEMBL_001454', 'CHEMBL_001494']","[1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00]"
CHEMBL_000015,CCN,43,33,"['CHEMBL_000015', 'CHEMBL_000055', 'CHEMBL_000095', 'CHEMBL_000135', 'CHEMBL_000215', 'CHEMBL_000255', 'CHEMBL_000295', 'CHEMBL_000335', 'CHEMBL_000375', 'CHEMBL_000415', 'CHEMBL_000495', 'CHEMBL_000535', 'CHEMBL_000575', 'CHEMBL_000615', 'CHEMBL_000655', 'CHEMBL_000695', 'CHEMBL_000775', 'CHEMBL_000815', 'CHEMBL_000855', 'CHEMBL_000895', 'CHEMBL_000935', 'CHEMBL_000975', 'CHEMBL_001055', 'CHEMBL_001095', 'CHEMBL_001135', 'CHEMBL_001175', 'CHEMBL_001215', 'CHEMBL_001255', 'CHEMBL_001335', 'CHEMBL_001375', 'CHEMBL_001415', 'CHEMBL_001455', 'CHEMBL_001495']","[1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00]"
CHEMBL_000016,CCC(=O)O,40,37,"['CHEMBL_000016', 'CHEMBL_000096', 'CHEMBL_000126', 'CHEMBL_000136', 'CHEMBL_000176', 'CHEMBL_000216', 'CHEMBL_000256', 'CHEMBL_000296', 'CHEMBL_000376', 'CHEMBL_000406', 'CHEMBL_000416', 'CHEMBL_000456', 'CHEMBL_000496', 'CHEMBL_000536', 'CHEMBL_000576', 'CHEMBL_000656', 'CHEMBL_000686', 'CHEMBL_000696', 'CHEMBL_000736', 'CHEMBL_000776', 'CHEMBL_000816', 'CHEMBL_000856', 'CHEMBL_000936', 'CHEMBL_000966', 'CHEMBL_000976', 'CHEMBL_001016', 'CHEMBL_001056', 'CHEMBL_001096', 'CHEMBL_001136', 'CHEMBL_001216', 'CHEMBL_001246', 'CHEMBL_001256', 'CHEMBL_001296', 'CHEMBL_001336', 'CHEMBL_001376', 'CHEMBL_001416', 'CHEMBL_001496']","[1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00]"
CHEMBL_000017,CCCC,6,33,"['CHEMBL_000017', 'CHEMBL_000057', 'CHEMBL_000097', 'CHEMBL_000137', 'CHEMBL_000177', 'CHEMBL_000257', 'CHEMBL_000297', 'CHEMBL_000337', 'CHEMBL_000377', 'CHEMBL_000417', 'CHEMBL_000457', 'CHEMBL_000537', 'CHEMBL_000577', 'CHEMBL_000617', 'CHEMBL_000657', 'CHEMBL_000697', 'CHEMBL_000737', 'CHEMBL_000817', 'CHEMBL_000857', 'CHEMBL_000897', 'CHEMBL_000937', 'CHEMBL_000977', 'CHEMBL_001017', 'CHEMBL_001097', 'CHEMBL_001137', 'CHEMBL_001177', 'CHEMBL_001217', 'CHEMBL_001257', 'CHEMBL_001297', 'CHEMBL_001377', 'CHEMBL_001417', 'CHEMBL_001457', 'CHEMBL_001497']","[1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00]"
CHEMBL_000018,c1ccc(cc1)N,5,38,"['CHEMBL_000018', 'CHEMBL_000058', 'CHEMBL_000098', 'CHEMBL_000138', 'CHEMBL_000178', 'CHEMBL_000218', 'CHEMBL_000258', 'CHEMBL_000298', 'CHEMBL_000338', 'CHEMBL_000378', 'CHEMBL_000418', 'CHEMBL_000458', 'CHEMBL_000498', 'CHEMBL_000538', 'CHEMBL_000578', 'CHEMBL_000618', 'CHEMBL_000658', 'CHEMBL_000698', 'CHEMBL_000738', 'CHEMBL_000778', 'CHEMBL_000818', 'CHEMBL_000858', 'CHEMBL_000898', 'CHEMBL_000938', 'CHEMBL_000978', 'CHEMBL_001018', 'CHEMBL_001058', 'CHEMBL_001098', 'CHEMBL_001138', 'CHEMBL_001178', 'CHEMBL_001218', 'CHEMBL_001258', 'CHEMBL_001298', 'CHEMBL_001338', 'CHEMBL_001378', 'CHEMBL_001418', 'CHEMBL_001458', 'CHEMBL_001498']","[1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00]"
CHEMBL_000019,CC(=O)C,14,33,"['CHEMBL_000019', 'CHEMBL_000059', 'CHEMBL_000099', 'CHEMBL_000139', 'CHEMBL_000179', 'CHEMBL_000219', 'CHEMBL_000299', 'CHEMBL_000339', 'CHEMBL_000379', 'CHEMBL_000419', 'CHEMBL_000459', 'CHEMBL_000499', 'CHEMBL_000579', 'CHEMBL_000619', 'CHEMBL_000659', 'CHEMBL_000699', 'CHEMBL_000739', 'CHEMBL_000779', 'CHEMBL_000859', 'CHEMBL_000899', 'CHEMBL_000939', 'CHEMBL_000979', 'CHEMBL_001019', 'CHEMBL_001059', 'CHEMBL_001139', 'CHEMBL_001179', 'CHEMBL_001219', 'CHEMBL_001259', 'CHEMBL_001299', 'CHEMBL_001339', 'CHEMBL_001419', 'CHEMBL_001459', 'CHEMBL_001499']","[1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00]"
